,0,1,2,3,4,5,6,7
0,1001,광진교 남단 사거리(디지털프라자앞),운영중,15,0,서울특별시 강동구 올림픽로 674 로석빌딩,37.54179382,127.12474823
1,1002,해공공원(천호동),운영중,10,3,서울특별시 강동구 올림픽로 702 해공도서관,37.54526138,127.12594604
2,1003,해공도서관앞,운영중,20,0,서울특별시 강동구 올림픽로 702 해공도서관,37.54395676,127.12548828
3,1004,삼성광나루아파트 버스정류장,운영중,10,2,서울특별시 강동구 올림픽로 812,37.55332947,127.12886810
4,1006,롯데캐슬 115동앞,운영중,15,0,서울특별시 강동구 고덕로 131 강동 롯데캐슬퍼스트아파트,37.55486679,127.14279938
5,1007,암사동 선사유적지,운영중,16,5,서울특별시 강동구 올림픽로 875 서울 암사동 유적,37.55955887,127.13087463
6,1008,암사역 3번출구(국민은행앞),운영중,10,5,서울특별시 강동구 올림픽로 767,37.54957581,127.12718201
7,1009,천호역4번출구(현대백화점),운영중,20,0,서울특별시 강동구 천호대로 1005 현대백화점,37.53866577,127.12424469
8,101,(구)합정동 주민센터,운영중,5,0,서울특별시 마포구 동교로8길 58 444-12,37.54956055,126.90575409
9,1010,강동세무서,운영중,20,0,서울특별시 강동구 천호대로 1139 강동그린타워,37.53450775,127.13840485
10,1011,LIGA 아파트 앞,운영중,20,3,서울특별시 강동구 성내동 450-31,37.53474426,127.13528442
11,1012,서울 상운차량,운영중,15,1,서울특별시 강동구 올림픽로 610 서울상운자동차공업사,37.53600693,127.12272644
12,1013,강동구청역 1번 출입구,운영중,15,0,서울특별시 강동구 올림픽로 552,37.53071594,127.12098694
13,1014,강동구평생학습관앞,운영중,15,1,서울특별시 강동구 구천면로 395 명일동공영주차장,37.55080032,127.14295197
14,1015,샛마을 근린공원,운영중,13,1,서울특별시 강동구 명일동 289-21,37.55003738,127.14691162
15,1016,해뜨는 주유소옆 리엔파크 109동앞,운영중,10,1,서울특별시 강동구 강일동 706,37.55939865,127.17118073
16,1017,맥도날드(길동),운영중,20,1,서울특별시 강동구 길동 252-91,37.53544617,127.14518738
17,1019,다성이즈빌아파트(호원대 대각선 맞은편),운영중,10,1,서울특별시 강동구 성내동 434-28,37.52679443,127.13005829
18,102,망원역 1번출구 앞,운영중,20,2,서울특별시 마포구 월드컵로 72 475-54,37.55564880,126.91062927
19,1020,강동경찰서,운영중,15,1,서울특별시 강동구 성내로 57 강동경찰서,37.52825165,127.12680054
20,1021,강일동 리슈빌 빌딩앞,운영중,15,4,서울특별시 강동구 강일동 681,37.56427383,127.17397308
21,1022,길동 사거리(초소앞),운영중,20,0,서울특별시 강동구 성내동 379-41,37.53377914,127.13799286
22,1023,한국종합기술사옥 앞,운영중,15,2,서울특별시 강동구 상일로6길 21 한국종합기술사옥,37.54998398,127.17470551
23,1024,강동구청 앞,운영중,10,0,서울특별시 강동구 성내로 28 강동빌딩,37.52929688,127.12315369
24,1025,상일초등학교,운영중,10,0,서울특별시  상일동 440-3 상일초등학교,37.54684067,127.17251587
25,1026,대명초교 입구 교차로,운영중,14,1,서울특별시 강동구 명일동 59,37.54653549,127.15583801
26,1027,프라자 아파트 앞,운영중,20,0,서울특별시 강동구 천호대로 1240 프라자아파트,37.53596115,127.14781952
27,1028,포레스 주상복합 빌딩,운영중,10,0,서울특별시 강동구 천호옛길 41 포레스아파트,37.53310776,127.12277222
28,1029,롯데 시네마,운영중,10,2,서울특별시 강동구 성내동 43-2,37.53655624,127.12553406
29,103,망원역 2번출구 앞,운영중,14,0,서울특별시 마포구 월드컵로 79 378-18,37.55495071,126.91083527
30,1030,미호 플랜트 앞,운영중,15,0,서울특별시 강동구 강동대로 143-22,37.52703094,127.12206268
31,1031,올림픽로 836(아리수로),운영중,15,1,서울특별시 강동구 올림픽로 836,37.55582047,127.12991333
32,1032,선사고등학교,운영중,20,0,서울특별시 강동구 암사동 524,37.55672836,127.13626099
33,1033,고덕동 아남아파트,운영중,10,0,서울특별시 강동구 고덕동 469,37.55801010,127.14475250
34,1034,고덕동 래미안 힐스테이트,운영중,15,0,서울특별시 강동구 고덕동 585-4,37.56187820,127.15078735
35,1036,고덕동 주양쇼핑,운영중,10,0,서울특별시 강동구 명일동 48-25,37.55199051,127.15331268
36,1037,강일리버파크 6단지,운영중,10,1,서울특별시 강동구 강일동 684-2,37.56256485,127.17761230
37,1038,강일 다솜 어린이 공원,운영중,10,0,서울특별시 강동구 강일동 667-4,37.56863785,127.17480469
38,1039,고덕초등학교,운영중,7,1,서울특별시 강동구 고덕로83길 55,37.56129837,127.16784668
39,104,합정역 1번출구 앞,운영중,13,0,서울특별시 마포구 양화로 59 393-7,37.55062866,126.91498566
40,1041,묘곡초등학교,운영중,10,1,서울특별시 강동구 동남로79길 46 서울묘곡초등학교,37.55916214,127.15332031
41,1042,강일리버파크 2~5단지,운영중,10,0,서울특별시 강동구 아리수로97길 68 강일리버파크2단지아파트,37.56854630,127.17700958
42,1044,굽은다리역,운영중,15,1,서울특별시 강동구 천호동 42-1,37.54540634,127.14267731
43,1047,건강보험 강동지사kt,운영중,10,0,서울특별시 강동구 천호대로175길 39,37.53647232,127.13715363
44,1048,동부기업(둔촌동),운영중,10,3,서울특별시 강동구 둔촌동 77-2,37.53099442,127.14237213
45,1049,강일리버파크 10단지,운영중,10,1,서울특별시 강동구 강일동 695-1,37.56120300,127.18026733
46,105,합정역 5번출구 앞,운영중,5,0,서울특별시 마포구 양화로 48 394-95,37.55000687,126.91482544
47,1050,둔촌역 3번 출입구,운영중,15,2,서울특별시 강동구 양재대로 1349,37.52678299,127.13557434
48,1051,양지시장 (용성약국앞) 입구,운영중,15,2,서울특별시 강동구 암사동 531,37.55483627,127.13732147
49,1052,리싸이클시티,운영중,10,1,서울특별시 강동구 동남로 926 강동푸드마켓,37.55644989,127.15682220
50,1053,동명근린공원 진입로 (아리수로),운영중,8,0,서울특별시 강동구 고덕동 230,37.56254578,127.16448212
51,1054,말우물 어린이 공원,운영중,10,2,서울특별시 강동구 상일로21길 14-7 고덕2동경로당,37.56002808,127.16967773
52,1056,강일리버파크 7~11단지,운영중,10,0,서울특별시 강동구 아리수로98길 25 강일리버파크7단지아파트,37.56335449,127.17905426
53,1057,능골근린공원,운영중,15,0,서울특별시 강동구 강일동 736,37.55580902,127.17374420
54,1058,고덕숲 아이파크 1,운영중,12,2,서울특별시 강동구 상일동 518-2,37.55348206,127.16505432
55,1059,래미안 강동팰리스(102동),운영중,15,1,서울특별시 강동구 천호동 571-2,37.53822708,127.13174438
56,106,합정역 7번출구 앞,운영중,10,0,서울특별시 마포구 독막로 4 381-1,37.54864502,126.91282654
57,1060,천일초교 사거리,운영중,8,0,서울특별시 강동구 천호동 297-19,37.54467010,127.13267517
58,1061,천호초교 입구 사거리(일주빌딩),운영중,10,0,서울특별시 강동구 구천면로 304 일주빌딩,37.54689789,127.13466644
59,1062,고덕숲 아이파크 2,운영중,15,3,서울특별시 강동구 상일동 515-1,37.55107880,127.16259766
60,1063,강동롯데캐슬퍼스트 아파트(관리동),운영중,1,0,서울특별시 강동구 고덕로 131 강동 롯데캐슬퍼스트아파트 강동구 고덕로 131,37.55666351,127.14273834
61,1064,중앙보훈병원역 1번출구,운영중,1,0,서울특별시 강동구 둔촌동 산17-4,37.52779388,127.14764404
62,1065,보훈병원 정문옆(중앙대영약국),운영중,1,0,서울특별시 강동구 동남로 635,37.53120804,127.14926910
63,1066,생태공원앞 교차로(조명탑),운영중,1,0,서울특별시 강동구 둔촌동 564 생태공원앞 교차로 (조명탑),37.53776550,127.15201569
64,1067,한영중고앞사거리,운영중,1,0,서울특별시 강동구 상일동 168 명일동 59,37.54903412,127.15605164
65,1068,명일파출소,운영중,1,0,서울특별시 강동구 명일동 47-20,37.55364990,127.15622711
66,1069,강동경희대학교병원 입구,운영중,1,0,서울특별시 강동구 동남로 888,37.55305481,127.15688324
67,107,신한은행 서교동금융센터점 앞,운영중,5,3,서울특별시 마포구 월드컵북로 35 449-28,37.55751038,126.91850281
68,1070,(시립)고덕평생학습관,운영중,1,0,서울특별시 강동구 고덕로 295 고덕평생학습관,37.55570221,127.15792084
69,1071,명일근린공원공동체텃밭,운영중,1,0,서울특별시 강동구 상일동 145-6,37.55568695,127.15991211
70,1073,SSTS 몰 앞,운영중,1,0,서울특별시 강동구 천호동 55-26,37.54114532,127.14105225
71,1074,대명초교입구 사거리,운영중,1,0,서울특별시 강동구 명일동 59,37.54683685,127.14916229
72,1075,천동초교 삼거리,운영중,1,0,서울특별시 강동구 천호동 114-4,37.54136276,127.13718414
73,1076,전자랜드 길동점,운영중,1,0,서울특별시 강동구 양재대로 1504,37.53989410,127.14103699
74,1077,강동역 1번출구 앞,운영중,1,0,서울특별시 강동구 천호동 571-2,37.53620529,127.13256073
75,1078,둔촌사거리,운영중,1,0,서울특별시 강동구 성내동 449-22,37.52197647,127.13362122
76,1079,강일동입구교차로,운영중,1,0,서울특별시 강동구 강일동 608-5,37.56184387,127.17084503
77,108,서교동 사거리,운영중,10,0,서울특별시 마포구 양화로 93 427,37.55274582,126.91861725
78,1080,엘웨딩,운영중,1,0,서울특별시 강동구 천호대로 1052 엘웨딩홀,37.53683090,127.12841797
79,1081,트레빌빌딩,운영중,1,0,서울특별시 강동구 성내동 산18-4,37.53699875,127.12953186
